"ID","CATEGORY","Site Name","State","Other site","Industry","Sample mat","Sample dat","PFOA (ppt)","PFOS (ppt)","PFOA+PFOS","Total PFAS","Notes and","Link to PF","Link to su","Federal/st","Site-speci","Site-spe_1","Site Name,","latitude","longitude","name","desc","color","source","precision","STATEFP","COUNTYFP","TRACTCE","AFFGEOID","GEOID","NAME_2","NAMELSAD","STUSPS","NAMELSADCO","STATE_NAME","LSAD","ALAND","AWATER","NAME","populationE","hisp_latinoE","whiteE","blackE","ai_anE","asianE","nh_piE","otherE","two_or_moreE","median_ageE","median_hh_incomeE","hh_with_under18E","born_in_USE","foreign_bornE","language_all_over_5E","language_englishE","language_not_englishE","language_not_english_very_wellE","language_spanishE","language_indo_euroE","language_asian_piE","language_otherE"
3,"Known","Maxwell-Gunter Air Force Base","Alabama",NA,"Military","Groundwater",2017,84000,38000,122000,540637,"PFOS, PFOA, and PFOS+PFOA exceeded the USEPA HA value during the 2013 sampling event within FTA No. 2, while PFOS+PFOA exceeded the USEPA HA value during the November 2017 SI re-sampling event in one monitoring well installed adjacent to FTA No. 2 along","https://drive.google.com/file/d/1vDzjU9g2heBhe6R3X-uL8zjOebYiXVA1/view?usp=sharing",NA,"https://ar.afcec-cloud.af.mil/Search.aspx","https://drive.google.com/drive/u/1/folders/1udCap1SXpVt2Rg8ln9Na0g0bZ60Mtkaq",NA,"Maxwell-Gunter Air Force Base, Alabama",32.38,-86.36,"Maxwell-Gunter Air Force Base, Alabama","Maxwell Air Force Base, AL",NA,"Bing Maps","Airport","01","101","000900","1400000US01101000900","01101000900",9,"Census Tract 9","AL","Montgomery County","Alabama","CT",8868139,788528,"Census Tract 9, Montgomery County, Alabama",2128,284,1247,436,3,58,13,0,87,35.6,99000,176,1963,62,2020,1813,207,84,203,2,2,NA
8,"Known","Adak Naval Air Facility","Alaska",NA,"Military","Groundwater",2018,716,3630,NA,NA,NA,"https://www.akaction.org/wp-content/uploads/Report-Threats-to-Drinking-Water-and-Public-Health-in-Alaska-FINAL-web-version-9-24-19.pdf","https://www.akaction.org/wp-content/uploads/Report-Threats-to-Drinking-Water-and-Public-Health-in-Alaska-FINAL-web-version-9-24-19.pdf","https://dec.alaska.gov/spar/csp/sites/adak/",NA,"https://drive.google.com/drive/u/1/folders/16k9q_GfKDxIlkLwYq5hYoOsOeFXo_I51","Adak Naval Air Facility, Alaska",51.87,-176.66,"Adak Naval Air Facility, Alaska","Adak, AK",NA,"Bing Maps","city/town","02","016","000100","1400000US02016000100","02016000100",1,"Census Tract 1","AK","Aleutians West Census Area","Alaska","CT",8556804421,22079077527,"Census Tract 1, Aleutians West Census Area, Alaska",950,80,237,41,457,16,50,2,67,40.9,63750,46,900,33,900,697,203,41,20,30,31,NA
12,"Known","Anchorage Airport","Alaska",NA,"Airport","Groundwater",2019,56000,268000,NA,NA,"AFFF use","https://drive.google.com/file/d/1a4UV7OwiKnCr-hlOL4HPcrfeIhrYFWB3/view?usp=sharing","https://dec.alaska.gov/Applications/SPAR/PublicMVC/CSP/SiteReport/27120","https://dec.alaska.gov/Applications/SPAR/PublicMVC/CSP/SiteReport/27120","https://drive.google.com/drive/u/0/folders/1RtWzvyemLSZMtSQkRkawBw0shzMLGVAU",NA,"Anchorage Airport, Alaska",61.17,-149.99,"Anchorage Airport, Alaska","Ted Stevens Anchorage International Airport, AK",NA,"Bing Maps","Airport","02","020","002301","1400000US02020002301","02020002301",23.01,"Census Tract 23.01","AK","Anchorage Municipality","Alaska","CT",50814199,218718249,"Census Tract 23.01, Anchorage Municipality, Alaska",8016,518,4996,28,373,1139,165,104,693,37,136677,1451,6480,1241,7602,6375,1227,488,325,200,657,NA
13,"Known","Aniak Airport","Alaska",NA,"Airport","Drinking Water",NA,NA,NA,NA,NA,NA,"https://dec.alaska.gov/Applications/SPAR/PublicMVC/CSP/SiteReport/27266","https://dec.alaska.gov/Applications/SPAR/PublicMVC/CSP/SiteReport/27266","https://dec.alaska.gov/Applications/SPAR/PublicMVC/CSP/SiteReport/27266","https://dec.alaska.gov/Applications/SPAR/PublicMVC/CSP/SiteReport/27266","https://drive.google.com/drive/u/0/folders/1GbuPEvEl2pOLF0P-ofAdzZ_O8o4rKrpY","Aniak Airport, Alaska",61.57,-159.54,"Aniak Airport, Alaska","Aniak Airport, AK",NA,"Bing Maps","Airport","02","050","000300","1400000US02050000300","02050000300",3,"Census Tract 3","AK","Bethel Census Area","Alaska","CT",49367571113,622683516,"Census Tract 3, Bethel Census Area, Alaska",1404,8,164,11,1138,6,0,0,77,30.4,44750,184,1390,10,1243,1001,242,41,5,11,0,NA
14,"Known","Barrow Airport","Alaska",NA,"Airport","Surface Water",NA,NA,NA,NA,NA,NA,"https://dec.alaska.gov/Applications/SPAR/PublicMVC/CSP/SiteReport/26792","https://dec.alaska.gov/Applications/SPAR/PublicMVC/CSP/SiteReport/26792","https://dec.alaska.gov/Applications/SPAR/PublicMVC/CSP/SiteReport/26792",NA,"https://drive.google.com/drive/u/0/folders/12lEyCeF5ZgCddD-yF0KPnoHFYn_SNOut","Barrow Airport, Alaska",71.28,-156.76,"Barrow Airport, Alaska","Wiley Post-Will Rogers Memorial Airport, AK",NA,"Bing Maps","Airport","02","185","000100","1400000US02185000100","02185000100",1,"Census Tract 1","AK","North Slope Borough","Alaska","CT",253339885,367665274,"Census Tract 1, North Slope Borough, Alaska",4360,202,352,113,2661,378,175,0,479,28.2,87870,631,3737,425,3992,2016,1976,385,98,111,448,NA
15,"Known","Bethel Airport","Alaska",NA,"Airport","Soil",2020,4000,25000,NA,NA,NA,NA,"https://dec.alaska.gov/Applications/SPAR/PublicMVC/CSP/SiteReport/27155","https://dec.alaska.gov/Applications/SPAR/PublicMVC/CSP/SiteReport/27155","https://drive.google.com/drive/u/0/folders/1FCp5HfzFngp7nEVfgiNXf7lWQN5yv-Gd","https://drive.google.com/drive/u/0/folders/10dJsZ4-s9jDoG8mS4qFLt_eZjWhmpOmt","Bethel Airport, Alaska",60.77,-161.83,"Bethel Airport, Alaska","Bethel Airport, AK",NA,"Bing Maps","Airport","02","050","000200","1400000US02050000200","02050000200",2,"Census Tract 2","AK","Bethel Census Area","Alaska","CT",566643599,27759252,"Census Tract 2, Bethel Census Area, Alaska",6548,292,1425,130,4074,198,41,0,388,30.5,86624,780,6168,371,6077,3340,2737,500,156,149,290,NA
16,"Known","Bloom Enterprises Fire","Alaska",NA,"Fire Department/Training Facility","Drinking Water",2019,3,2,NA,NA,"On 5/9/17 a spill occurred as a result of fire originating near an incinerator unit where large quantities of used vegetable oil had been stored in plastic containers. The plastic containers melted during the incident, releasing the vegetable oil. In add","https://drive.google.com/file/d/19cav3FFVTJyuIm1xJDkJjzZ-WDwuh89t/view?usp=sharing","https://dec.alaska.gov/Applications/SPAR/PublicMVC/CSP/SiteReport/26896","https://dec.alaska.gov/Applications/SPAR/PublicMVC/CSP/SiteReport/26896","https://drive.google.com/drive/u/0/folders/16YvokKcmihXnebJUplPThGrXqlNiydP4",NA,"Bloom Enterprises Fire, Alaska",61.15,-150.2,"Bloom Enterprises Fire, Alaska","Fire Island, AK",NA,"Bing Maps","Island","02","020","002301","1400000US02020002301","02020002301",23.01,"Census Tract 23.01","AK","Anchorage Municipality","Alaska","CT",50814199,218718249,"Census Tract 23.01, Anchorage Municipality, Alaska",8016,518,4996,28,373,1139,165,104,693,37,136677,1451,6480,1241,7602,6375,1227,488,325,200,657,NA
17,"Known","City of Kenai Airport","Alaska",NA,"Airport","Drinking Water",2018,NA,1,NA,NA,"Use of Aqueous Film Forming Foam (AFFF) at various locations at the Kenai municipal airport.","https://drive.google.com/file/d/131fup-rVEbwr2DFZpXO6H1T_r1SgmQ3z/view?usp=sharing","https://dec.alaska.gov/Applications/SPAR/PublicMVC/CSP/SiteReport/27093","https://dec.alaska.gov/Applications/SPAR/PublicMVC/CSP/SiteReport/27093","https://drive.google.com/drive/u/0/folders/1oo6i_uXsK7PMjNsS5AXTL-sUPSJm4l4A","https://drive.google.com/drive/u/0/folders/13hmuD0DIxmhGB2O0NKW33bpTHoZT5m7A","City of Kenai Airport, Alaska",60.57,-151.24,"City of Kenai Airport, Alaska","Kenai Municipal Airport, AK",NA,"Bing Maps","Airport","02","122","000600","1400000US02122000600","02122000600",6,"Census Tract 6","AK","Kenai Peninsula Borough","Alaska","CT",75472419,139952000,"Census Tract 6, Kenai Peninsula Borough, Alaska",7799,435,5499,93,954,256,94,0,468,36.3,66612,820,7416,285,7229,6589,640,110,258,150,96,NA
18,"Known","City of North Pole Fire Station","Alaska",NA,"Airport","Groundwater",2020,2100,140000,NA,NA,NA,"https://dec.alaska.gov/Applications/SPAR/PublicMVC/CSP/SiteReport/27175","https://dec.alaska.gov/Applications/SPAR/PublicMVC/CSP/SiteReport/27175","https://dec.alaska.gov/Applications/SPAR/PublicMVC/CSP/SiteReport/27175",NA,"https://drive.google.com/drive/u/0/folders/1p29ThrAfAjHwaPPqPXZzHiYybLQe5g36","City of North Pole Fire Station, Alaska",64.75,-147.35,"City of North Pole Fire Station, Alaska","North Pole, AK",NA,"Bing Maps","city/town","02","090","001600","1400000US02090001600","02090001600",16,"Census Tract 16","AK","Fairbanks North Star Borough","Alaska","CT",25027079,178393,"Census Tract 16, Fairbanks North Star Borough, Alaska",5142,559,3554,225,176,165,0,0,463,29.8,75859,622,4964,129,4792,4468,324,49,59,26,201,NA
19,"Known","Clear Air Force Station","Alaska",NA,"Military","Groundwater",2016,2200,160,2213,7244,"PFOA and/or PFOS were detected above screening levels in soil and/or groundwater at all 5 AFFF areas investigated, confirming the presence of PFAS at each of the AFFF areas and the need for further investigation. PFAS in groundwater may pose a potential","https://drive.google.com/file/d/1KTlGuj7r03TpGUFzqSrR6vU2VvJ6s-kf/view?usp=sharing","https://www.akaction.org/wp-content/uploads/Report-Threats-to-Drinking-Water-and-Public-Health-in-Alaska-FINAL-web-version-9-24-19.pdf","http://afcec.publicadmin-record.us.af.mil/","https://drive.google.com/drive/u/0/folders/1WEmeFch44FEPrOXfpBe2aHXUnJOW9WF5","https://drive.google.com/drive/folders/1DAvaRcWJmZhNWQ1q_AHED0zlHGyLsp0c","Clear Air Force Station, Alaska",64.28,-149.19,"Clear Air Force Station, Alaska","Clear Air Force Station, AK",NA,"Bing Maps","MilitaryBase","02","068","000100","1400000US02068000100","02068000100",1,"Census Tract 1","AK","Denali Borough","Alaska","CT",32740165582,66105677,"Census Tract 1, Denali Borough, Alaska",2502,37,2025,54,43,51,0,5,287,43.8,76364,132,2173,200,2466,2222,244,73,35,83,108,NA
