"ID","CATEGORY","Site Name","State","Other site","Industry","Sample mat","Sample dat","PFOA (ppt)","PFOS (ppt)","PFOA+PFOS","Total PFAS","Notes and","Link to PF","Link to su","Federal/st","Site-speci","Site-spe_1","Site Name,","latitude","longitude","name","desc","color","source","precision","ZCTA5CE20","GEOID20","CLASSFP20","MTFCC20","FUNCSTAT20","ALAND20","AWATER20","INTPTLAT20","INTPTLON20","NAME","populationE","hisp_latinoE","whiteE","blackE","ai_anE","asianE","nh_piE","otherE","two_or_moreE","median_ageE","median_hh_incomeE","hh_with_under18E","born_in_USE","foreign_bornE","language_all_over_5E","language_englishE","language_not_englishE","language_not_english_very_wellE","language_spanishE","language_indo_euroE","language_asian_piE","language_otherE"
3,"Known","Maxwell-Gunter Air Force Base","Alabama",NA,"Military","Groundwater",2017,84000,38000,122000,540637,"PFOS, PFOA, and PFOS+PFOA exceeded the USEPA HA value during the 2013 sampling event within FTA No. 2, while PFOS+PFOA exceeded the USEPA HA value during the November 2017 SI re-sampling event in one monitoring well installed adjacent to FTA No. 2 along","https://drive.google.com/file/d/1vDzjU9g2heBhe6R3X-uL8zjOebYiXVA1/view?usp=sharing",NA,"https://ar.afcec-cloud.af.mil/Search.aspx","https://drive.google.com/drive/u/1/folders/1udCap1SXpVt2Rg8ln9Na0g0bZ60Mtkaq",NA,"Maxwell-Gunter Air Force Base, Alabama",32.38,-86.36,"Maxwell-Gunter Air Force Base, Alabama","Maxwell Air Force Base, AL",NA,"Bing Maps","Airport","36112","36112","B5","G6350","S",6939324,632839,32.3809438,-86.363749,"ZCTA5 36112",262,58,183,0,0,10,0,0,11,25.7,NA,0,242,10,262,204,58,0,58,0,0,NA
8,"Known","Adak Naval Air Facility","Alaska",NA,"Military","Groundwater",2018,716,3630,NA,NA,NA,"https://www.akaction.org/wp-content/uploads/Report-Threats-to-Drinking-Water-and-Public-Health-in-Alaska-FINAL-web-version-9-24-19.pdf","https://www.akaction.org/wp-content/uploads/Report-Threats-to-Drinking-Water-and-Public-Health-in-Alaska-FINAL-web-version-9-24-19.pdf","https://dec.alaska.gov/spar/csp/sites/adak/",NA,"https://drive.google.com/drive/u/1/folders/16k9q_GfKDxIlkLwYq5hYoOsOeFXo_I51","Adak Naval Air Facility, Alaska",51.87,-176.66,"Adak Naval Air Facility, Alaska","Adak, AK",NA,"Bing Maps","city/town","99546","99546","B5","G6350","S",84002712,13372411,51.8556702,-176.6686321,"ZCTA5 99546",188,26,68,10,12,14,50,0,8,34.5,51250,5,144,27,173,131,42,27,11,0,31,NA
12,"Known","Anchorage Airport","Alaska",NA,"Airport","Groundwater",2019,56000,268000,NA,NA,"AFFF use","https://drive.google.com/file/d/1a4UV7OwiKnCr-hlOL4HPcrfeIhrYFWB3/view?usp=sharing","https://dec.alaska.gov/Applications/SPAR/PublicMVC/CSP/SiteReport/27120","https://dec.alaska.gov/Applications/SPAR/PublicMVC/CSP/SiteReport/27120","https://drive.google.com/drive/u/0/folders/1RtWzvyemLSZMtSQkRkawBw0shzMLGVAU",NA,"Anchorage Airport, Alaska",61.17,-149.99,"Anchorage Airport, Alaska","Ted Stevens Anchorage International Airport, AK",NA,"Bing Maps","Airport","99502","99502","B5","G6350","S",45482278,1558923,61.1636523,-149.9966425,"ZCTA5 99502",25215,2299,14883,545,2297,2040,516,104,2531,33,94355,4014,21740,2678,23682,19565,4117,1063,1223,587,1786,NA
13,"Known","Aniak Airport","Alaska",NA,"Airport","Drinking Water",NA,NA,NA,NA,NA,NA,"https://dec.alaska.gov/Applications/SPAR/PublicMVC/CSP/SiteReport/27266","https://dec.alaska.gov/Applications/SPAR/PublicMVC/CSP/SiteReport/27266","https://dec.alaska.gov/Applications/SPAR/PublicMVC/CSP/SiteReport/27266","https://dec.alaska.gov/Applications/SPAR/PublicMVC/CSP/SiteReport/27266","https://drive.google.com/drive/u/0/folders/1GbuPEvEl2pOLF0P-ofAdzZ_O8o4rKrpY","Aniak Airport, Alaska",61.57,-159.54,"Aniak Airport, Alaska","Aniak Airport, AK",NA,"Bing Maps","Airport","99557","99557","B5","G6350","S",35426845132,263215299,61.4688826,-155.2152473,"ZCTA5 99557",711,8,132,10,524,6,0,0,31,36.2,56667,81,698,10,661,557,104,21,1,11,0,NA
14,"Known","Barrow Airport","Alaska",NA,"Airport","Surface Water",NA,NA,NA,NA,NA,NA,"https://dec.alaska.gov/Applications/SPAR/PublicMVC/CSP/SiteReport/26792","https://dec.alaska.gov/Applications/SPAR/PublicMVC/CSP/SiteReport/26792","https://dec.alaska.gov/Applications/SPAR/PublicMVC/CSP/SiteReport/26792",NA,"https://drive.google.com/drive/u/0/folders/12lEyCeF5ZgCddD-yF0KPnoHFYn_SNOut","Barrow Airport, Alaska",71.28,-156.76,"Barrow Airport, Alaska","Wiley Post-Will Rogers Memorial Airport, AK",NA,"Bing Maps","Airport","99723","99723","B5","G6350","S",48899960,8344897,71.2538615,-156.7982464,"ZCTA5 99723",4360,202,352,113,2661,378,175,0,479,28.2,87870,631,3737,425,3992,2016,1976,385,98,111,448,NA
15,"Known","Bethel Airport","Alaska",NA,"Airport","Soil",2020,4000,25000,NA,NA,NA,NA,"https://dec.alaska.gov/Applications/SPAR/PublicMVC/CSP/SiteReport/27155","https://dec.alaska.gov/Applications/SPAR/PublicMVC/CSP/SiteReport/27155","https://drive.google.com/drive/u/0/folders/1FCp5HfzFngp7nEVfgiNXf7lWQN5yv-Gd","https://drive.google.com/drive/u/0/folders/10dJsZ4-s9jDoG8mS4qFLt_eZjWhmpOmt","Bethel Airport, Alaska",60.77,-161.83,"Bethel Airport, Alaska","Bethel Airport, AK",NA,"Bing Maps","Airport","99559","99559","B5","G6350","S",146376902,24361904,60.772862,-161.8714665,"ZCTA5 99559",8036,324,1449,131,5493,198,41,0,400,29.3,80698,1004,7655,371,7393,3661,3732,647,157,151,290,NA
16,"Known","Bloom Enterprises Fire","Alaska",NA,"Fire Department/Training Facility","Drinking Water",2019,3,2,NA,NA,"On 5/9/17 a spill occurred as a result of fire originating near an incinerator unit where large quantities of used vegetable oil had been stored in plastic containers. The plastic containers melted during the incident, releasing the vegetable oil. In add","https://drive.google.com/file/d/19cav3FFVTJyuIm1xJDkJjzZ-WDwuh89t/view?usp=sharing","https://dec.alaska.gov/Applications/SPAR/PublicMVC/CSP/SiteReport/26896","https://dec.alaska.gov/Applications/SPAR/PublicMVC/CSP/SiteReport/26896","https://drive.google.com/drive/u/0/folders/16YvokKcmihXnebJUplPThGrXqlNiydP4",NA,"Bloom Enterprises Fire, Alaska",61.15,-150.2,"Bloom Enterprises Fire, Alaska","Fire Island, AK",NA,"Bing Maps","Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,"Known","City of Kenai Airport","Alaska",NA,"Airport","Drinking Water",2018,NA,1,NA,NA,"Use of Aqueous Film Forming Foam (AFFF) at various locations at the Kenai municipal airport.","https://drive.google.com/file/d/131fup-rVEbwr2DFZpXO6H1T_r1SgmQ3z/view?usp=sharing","https://dec.alaska.gov/Applications/SPAR/PublicMVC/CSP/SiteReport/27093","https://dec.alaska.gov/Applications/SPAR/PublicMVC/CSP/SiteReport/27093","https://drive.google.com/drive/u/0/folders/1oo6i_uXsK7PMjNsS5AXTL-sUPSJm4l4A","https://drive.google.com/drive/u/0/folders/13hmuD0DIxmhGB2O0NKW33bpTHoZT5m7A","City of Kenai Airport, Alaska",60.57,-151.24,"City of Kenai Airport, Alaska","Kenai Municipal Airport, AK",NA,"Bing Maps","Airport","99611","99611","B5","G6350","S",1364370028,59290568,60.8348105,-150.7242228,"ZCTA5 99611",14929,642,11115,136,1754,300,100,0,882,37.6,64157,1479,14424,400,13943,12942,1001,128,349,175,137,NA
18,"Known","City of North Pole Fire Station","Alaska",NA,"Airport","Groundwater",2020,2100,140000,NA,NA,NA,"https://dec.alaska.gov/Applications/SPAR/PublicMVC/CSP/SiteReport/27175","https://dec.alaska.gov/Applications/SPAR/PublicMVC/CSP/SiteReport/27175","https://dec.alaska.gov/Applications/SPAR/PublicMVC/CSP/SiteReport/27175",NA,"https://drive.google.com/drive/u/0/folders/1p29ThrAfAjHwaPPqPXZzHiYybLQe5g36","City of North Pole Fire Station, Alaska",64.75,-147.35,"City of North Pole Fire Station, Alaska","North Pole, AK",NA,"Bing Maps","city/town","99705","99705","B5","G6350","S",370508437,10104249,64.773899,-147.267614,"ZCTA5 99705",23633,1660,17709,871,1641,329,274,0,1149,31.2,85739,3068,22087,760,21986,20632,1354,136,288,366,388,NA
19,"Known","Clear Air Force Station","Alaska",NA,"Military","Groundwater",2016,2200,160,2213,7244,"PFOA and/or PFOS were detected above screening levels in soil and/or groundwater at all 5 AFFF areas investigated, confirming the presence of PFAS at each of the AFFF areas and the need for further investigation. PFAS in groundwater may pose a potential","https://drive.google.com/file/d/1KTlGuj7r03TpGUFzqSrR6vU2VvJ6s-kf/view?usp=sharing","https://www.akaction.org/wp-content/uploads/Report-Threats-to-Drinking-Water-and-Public-Health-in-Alaska-FINAL-web-version-9-24-19.pdf","http://afcec.publicadmin-record.us.af.mil/","https://drive.google.com/drive/u/0/folders/1WEmeFch44FEPrOXfpBe2aHXUnJOW9WF5","https://drive.google.com/drive/folders/1DAvaRcWJmZhNWQ1q_AHED0zlHGyLsp0c","Clear Air Force Station, Alaska",64.28,-149.19,"Clear Air Force Station, Alaska","Clear Air Force Station, AK",NA,"Bing Maps","MilitaryBase","99704","99704","B5","G6350","S",35679512,38393,64.288447,-149.2024285,"ZCTA5 99704",61,6,40,10,0,0,0,0,5,21.9,NA,0,61,0,61,61,0,0,0,0,0,NA
