ID,ZIP,STABRV,ZIP3,STATE_NAME,REGION,sample_year,PFAS water sites,Total households,Median household income,Income_DESC,Total population,Nonwhite,Percent Nonwhite,Nonwhite_DESC,Housing units,START_DATE,END_DATE,latitude,longitude,name,desc,source,precision
5,01001,MA,010,Massachusetts,Northeast Region,2015,1,6871,66088,"$55,001 - $75,000",16064,2097,13.1,10% - 25%,7093,2015-01-01,2023-01-01,42.0656128,-72.6230698,01001,"01001, MA",Bing Maps,postcode
6,01002,MA,010,Massachusetts,Northeast Region,2014,1,10182,60540,"$55,001 - $75,000",30099,8985,29.9,25.1% - 50%,11244,2014-01-01,2023-01-01,42.374958,-72.508606,01002,"01002, MA",Bing Maps,postcode
7,01004,MA,010,Massachusetts,Northeast Region,2020,3,,,,,,,,,2020-01-01,2023-01-01,42.3695068,-72.5333862,01004,"01004, MA",Bing Maps,postcode
8,01013,MA,010,Massachusetts,Northeast Region,2021,1,9246,46007,"$35,000 - $55,000",22739,8661,38.1,25.1% - 50%,10273,2021-01-01,2023-01-01,42.1578026,-72.6030655,01013,"01013, MA",Bing Maps,postcode
9,01020,MA,010,Massachusetts,Northeast Region,2015,1,13109,58909,"$55,001 - $75,000",30249,6987,23.1,10% - 25%,13664,2015-01-01,2023-01-01,42.1748276,-72.5762863,01020,"01020, MA",Bing Maps,postcode
10,01022,MA,010,Massachusetts,Northeast Region,2018,1,1094,43525,"$35,000 - $55,000",2203,736,33.4,25.1% - 50%,1109,2018-01-01,2023-01-01,42.1945343,-72.5523529,01022,"01022, MA",Bing Maps,postcode
11,01027,MA,010,Massachusetts,Northeast Region,2020,1,8180,66339,"$55,001 - $75,000",17641,1345,7.6,Less than 10%,8610,2020-01-01,2023-01-01,42.2710457,-72.6720886,01027,"01027, MA",Bing Maps,postcode
12,01028,MA,010,Massachusetts,Northeast Region,2014,1,5762,90579,"More than $75,000",16215,2114,13,10% - 25%,6010,2014-01-01,2023-01-01,42.0658569,-72.5093079,01028,"01028, MA",Bing Maps,postcode
13,01029,MA,010,Massachusetts,Northeast Region,2020,2,239,92361,"More than $75,000",572,16,2.8,Less than 10%,1021,2020-01-01,2023-01-01,42.1706848,-73.0418243,01029,"01029, MA",Bing Maps,postcode
14,01031,MA,010,Massachusetts,Northeast Region,2020,1,560,45549,"$35,000 - $55,000",1436,138,9.6,Less than 10%,614,2020-01-01,2023-01-01,42.3156853,-72.1814575,01031,"01031, MA",Bing Maps,postcode
15,01031,MA,010,Massachusetts,Northeast Region,2021,1,560,45549,"$35,000 - $55,000",1436,138,9.6,Less than 10%,614,2021-01-01,2023-01-01,42.3156853,-72.1814575,01031,"01031, MA",Bing Maps,postcode
16,01032,MA,010,Massachusetts,Northeast Region,2021,1,212,81875,"More than $75,000",482,40,8.3,Less than 10%,383,2021-01-01,2023-01-01,42.4545136,-72.8278656,01032,"01032, MA",Bing Maps,postcode
17,01033,MA,010,Massachusetts,Northeast Region,2018,1,2584,101886,"More than $75,000",6310,453,7.2,Less than 10%,2615,2018-01-01,2023-01-01,42.2540741,-72.5293579,01033,"01033, MA",Bing Maps,postcode
18,01033,MA,010,Massachusetts,Northeast Region,2019,1,2584,101886,"More than $75,000",6310,453,7.2,Less than 10%,2615,2019-01-01,2023-01-01,42.2540741,-72.5293579,01033,"01033, MA",Bing Maps,postcode
19,01033,MA,010,Massachusetts,Northeast Region,2020,1,2584,101886,"More than $75,000",6310,453,7.2,Less than 10%,2615,2020-01-01,2023-01-01,42.2540741,-72.5293579,01033,"01033, MA",Bing Maps,postcode
