,ZIP,city,county,STATE_ME,REGION,sample_year,PFAS water sites,Total households,Median household income,Income_DESC,Total population,Nonwhite,Percent Nonwhite,Nonwhite_DESC,Housing units,latitude,longitude
7,77511,Alvin,Brazoria,Texas,South Region,2015,1,16877.0,64855.0,"$55,001 - $75,000",50140.0,23531.0,46.9,25.1% - 50%,18932.0,29.4106483,-95.2513351
9,77515,Angleton,Brazoria,Texas,South Region,2014,1,11728.0,76923.0,"More than $75,000",33634.0,13779.0,41.0,25.1% - 50%,13012.0,29.1748466,-95.4402313
23,77522,Baytown,Harris,Texas,South Region,2015,1,,,,,,,,,29.7696838,-94.9699326
27,77401,Bellaire,Harris,Texas,South Region,2015,1,7057.0,184332.0,"More than $75,000",19428.0,6543.0,33.7,25.1% - 50%,7809.0,29.7069836,-95.4601364
50,77327,Cleveland,Liberty,Texas,South Region,2015,1,8900.0,44379.0,"$35,000 - $55,000",26206.0,11349.0,43.3,25.1% - 50%,10303.0,30.3327541,-94.9063415
59,77301,Conroe,Montgomery,Texas,South Region,2014,1,10655.0,49842.0,"$35,000 - $55,000",34512.0,22561.0,65.4,50.1% - 75%,11703.0,30.3108559,-95.4429245
60,77305,Conroe,Montgomery,Texas,South Region,2014,1,,,,,,,,,30.3190651,-95.4650726
71,77429,Cypress,Harris,Texas,South Region,2014,1,30278.0,109325.0,"More than $75,000",90506.0,38108.0,42.1,25.1% - 50%,31546.0,29.9834518,-95.6541214
72,77429,Cypress,Harris,Texas,South Region,2015,1,30278.0,109325.0,"More than $75,000",90506.0,38108.0,42.1,25.1% - 50%,31546.0,29.9834518,-95.6541214
73,77433,Cypress,Harris,Texas,South Region,2013,1,27750.0,112167.0,"More than $75,000",94345.0,53635.0,56.8,50.1% - 75%,29323.0,29.9417439,-95.7174759
74,77433,Cypress,Harris,Texas,South Region,2014,1,27750.0,112167.0,"More than $75,000",94345.0,53635.0,56.8,50.1% - 75%,29323.0,29.9417439,-95.7174759
81,77430,Damon,Brazoria,Texas,South Region,2013,1,649.0,81188.0,"More than $75,000",1867.0,226.0,12.1,10% - 25%,829.0,29.2930012,-95.6748352
82,77535,Dayton,Liberty,Texas,South Region,2015,1,9678.0,58813.0,"$55,001 - $75,000",34603.0,12065.0,34.9,25.1% - 50%,10942.0,30.0403786,-94.8992081
84,77536,Deer Park,Harris,Texas,South Region,2014,1,11305.0,77163.0,"More than $75,000",32745.0,14237.0,43.5,25.1% - 50%,12162.0,29.6858883,-95.1202087
92,77539,Dickinson,Galveston,Texas,South Region,2014,1,16255.0,73285.0,"$55,001 - $75,000",44228.0,21739.0,49.2,25.1% - 50%,18147.0,29.4659042,-95.0352783
125,77541,Freeport,Brazoria,Texas,South Region,2015,1,6813.0,50180.0,"$35,000 - $55,000",19072.0,12449.0,65.3,50.1% - 75%,9302.0,28.9834404,-95.3192749
126,77546,Friendswood,Galveston,Texas,South Region,2014,1,17987.0,105406.0,"More than $75,000",53148.0,17891.0,33.7,25.1% - 50%,19071.0,29.514389,-95.1896973
130,77547,Gale Park,Harris,Texas,South Region,2015,1,2765.0,43341.0,"$35,000 - $55,000",9895.0,9284.0,93.8,More than 75%,2892.0,29.7383194,-95.239563
131,77553,Galveston,Galveston,Texas,South Region,2015,1,,,,,,,,,29.3025303,-94.7954788
152,77562,Highlands,Harris,Texas,South Region,2013,1,3600.0,56927.0,"$55,001 - $75,000",10064.0,4875.0,48.4,25.1% - 50%,3846.0,29.8231258,-95.052475
155,77005,Houston,Harris,Texas,South Region,2014,1,10271.0,202526.0,"More than $75,000",29022.0,8187.0,28.2,25.1% - 50%,10949.0,29.717701,-95.4246902
156,77010,Houston,Harris,Texas,South Region,2014,2,598.0,250000.0,"More than $75,000",911.0,108.0,11.9,10% - 25%,835.0,29.7551537,-95.3619156
157,77010,Houston,Harris,Texas,South Region,2015,1,598.0,250000.0,"More than $75,000",911.0,108.0,11.9,10% - 25%,835.0,29.7551537,-95.3619156
158,77015,Houston,Harris,Texas,South Region,2014,1,17789.0,50118.0,"$35,000 - $55,000",57553.0,51928.0,90.2,More than 75%,19707.0,29.7806091,-95.1866684
159,77019,Houston,Harris,Texas,South Region,2013,2,11510.0,116032.0,"More than $75,000",22164.0,7834.0,35.3,25.1% - 50%,12719.0,29.7531605,-95.4008942
160,77019,Houston,Harris,Texas,South Region,2014,2,11510.0,116032.0,"More than $75,000",22164.0,7834.0,35.3,25.1% - 50%,12719.0,29.7531605,-95.4008942
161,77019,Houston,Harris,Texas,South Region,2015,1,11510.0,116032.0,"More than $75,000",22164.0,7834.0,35.3,25.1% - 50%,12719.0,29.7531605,-95.4008942
162,77019,Houston,Harris,Texas,South Region,2016,1,11510.0,116032.0,"More than $75,000",22164.0,7834.0,35.3,25.1% - 50%,12719.0,29.7531605,-95.4008942
163,77024,Houston,Harris,Texas,South Region,2014,1,16019.0,122987.0,"More than $75,000",38723.0,12700.0,32.8,25.1% - 50%,18039.0,29.7726498,-95.5109329
164,77027,Houston,Harris,Texas,South Region,2013,2,10699.0,99773.0,"More than $75,000",19171.0,7540.0,39.3,25.1% - 50%,12838.0,29.7416115,-95.4488983
165,77027,Houston,Harris,Texas,South Region,2014,3,10699.0,99773.0,"More than $75,000",19171.0,7540.0,39.3,25.1% - 50%,12838.0,29.7416115,-95.4488983
166,77027,Houston,Harris,Texas,South Region,2015,5,10699.0,99773.0,"More than $75,000",19171.0,7540.0,39.3,25.1% - 50%,12838.0,29.7416115,-95.4488983
167,77046,Houston,Harris,Texas,South Region,2013,2,938.0,130092.0,"More than $75,000",1344.0,515.0,38.3,25.1% - 50%,1107.0,29.7314892,-95.4330368
168,77046,Houston,Harris,Texas,South Region,2014,2,938.0,130092.0,"More than $75,000",1344.0,515.0,38.3,25.1% - 50%,1107.0,29.7314892,-95.4330368
