ZIP,city,county,STATE_ME,REGION,sample_year,PFAS water sites,Total households,Median household income,Income_DESC,Total population,Nonwhite,Percent Nonwhite,Nonwhite_DESC,Housing units,latitude,longitude
79604,Abilene,Taylor,Texas,South Region,2013,1,,,,,,,,,32.4519806,-99.7327881
75001,Addison,Dallas,Texas,South Region,2015,1,8404,72050,"$55,001 - $75,000",15418,8808,57.1,50.1% - 75%,9457,32.9641266,-96.8298187
78101,Adkins,Bexar,Texas,South Region,2015,1,2356,93125,"More than $75,000",7434,3398,45.7,25.1% - 50%,2629,29.3678589,-98.2482071
78516,Alamo,Hidalgo,Texas,South Region,2015,1,10443,36747,"$35,000 - $55,000",36248,33064,91.2,More than 75%,12562,26.1857376,-98.1099854
78333,Alice,Jim Wells,Texas,South Region,2013,1,,,,,,,,,27.7520962,-98.0731964
75002,Allen,Collin,Texas,South Region,2013,1,22483,104501,"More than $75,000",73916,29256,39.6,25.1% - 50%,23526,33.0908813,-96.6249237
75013,Allen,Collin,Texas,South Region,2015,1,14967,140098,"More than $75,000",42956,18873,43.9,25.1% - 50%,15914,33.1080895,-96.6873932
77511,Alvin,Brazoria,Texas,South Region,2015,1,16877,64855,"$55,001 - $75,000",50140,23531,46.9,25.1% - 50%,18932,29.4106483,-95.2513351
79105,Amarillo,Potter,Texas,South Region,2015,1,0,,,0,0,,,30,35.203865,-101.8322296
77515,Angleton,Brazoria,Texas,South Region,2014,1,11728,76923,"More than $75,000",33634,13779,41,25.1% - 50%,13012,29.1748466,-95.4402313
76004,Arlington,Tarrant,Texas,South Region,2014,1,,,,,,,,,32.7348137,-97.1045685
75751,Athens,Henderson,Texas,South Region,2014,1,5840,41240,"$35,000 - $55,000",17356,6798,39.2,25.1% - 50%,6989,32.1775207,-95.8748245
78719,Austin,Travis,Texas,South Region,2016,1,405,49917,"$35,000 - $55,000",1803,1507,83.6,More than 75%,465,30.1410198,-97.6769409
78723,Austin,Travis,Texas,South Region,2014,1,14192,72764,"$55,001 - $75,000",37552,21894,58.3,50.1% - 75%,15545,30.3102627,-97.6878738
78723,Austin,Travis,Texas,South Region,2015,2,14192,72764,"$55,001 - $75,000",37552,21894,58.3,50.1% - 75%,15545,30.3102627,-97.6878738
78728,Austin,Travis,Texas,South Region,2014,1,10429,62223,"$55,001 - $75,000",21857,12792,58.5,50.1% - 75%,11241,30.454586,-97.6840134
78734,Austin,Travis,Texas,South Region,2015,1,8181,114709,"More than $75,000",19711,4707,23.9,10% - 25%,9180,30.3772488,-97.9464493
78738,Austin,Travis,Texas,South Region,2015,1,6368,117371,"More than $75,000",15090,4105,27.2,25.1% - 50%,6997,30.3170013,-97.9819107
78745,Austin,Travis,Texas,South Region,2014,1,27994,68669,"$55,001 - $75,000",63287,30116,47.6,25.1% - 50%,29410,30.2046509,-97.7970352
78767,Austin,Travis,Texas,South Region,2014,1,,,,,,,,,30.2701874,-97.7420044
76098,Azle,Parker,Texas,South Region,2013,1,,,,,,,,,32.9061584,-97.5502014
78602,Bastrop,Bastrop,Texas,South Region,2015,1,9107,65618,"$55,001 - $75,000",28536,12115,42.5,25.1% - 50%,10498,30.1117516,-97.3200531
77414,Bay City,Matagorda,Texas,South Region,2014,1,9286,48237,"$35,000 - $55,000",24254,14996,61.8,50.1% - 75%,12779,28.9378777,-95.8974533
77522,Baytown,Harris,Texas,South Region,2015,1,,,,,,,,,29.7696838,-94.9699326
77704,Beaumont,Jefferson,Texas,South Region,2014,1,,,,,,,,,30.0844555,-94.1017456
76021,Bedford,Tarrant,Texas,South Region,2014,1,14388,75735,"More than $75,000",35168,12446,35.4,25.1% - 50%,14999,32.8495827,-97.1348724
78102,Beeville,Bee,Texas,South Region,2015,1,7012,46089,"$35,000 - $55,000",28253,19839,70.2,50.1% - 75%,8690,28.4041176,-97.7492981
77401,Bellaire,Harris,Texas,South Region,2015,1,7057,184332,"More than $75,000",19428,6543,33.7,25.1% - 50%,7809,29.7069836,-95.4601364
76513,Belton,Bell,Texas,South Region,2015,1,14123,68099,"$55,001 - $75,000",42162,16634,39.5,25.1% - 50%,15120,31.0638084,-97.4785156
79720,Big Spring,Howard,Texas,South Region,2014,1,10776,57450,"$55,001 - $75,000",34454,18309,53.1,50.1% - 75%,12543,32.2458,-101.469017
75424,Blue Ridge,Collin,Texas,South Region,2015,1,1047,68795,"$55,001 - $75,000",2891,731,25.3,25.1% - 50%,1136,33.29702,-96.3940811
78006,Boerne,Kendall,Texas,South Region,2014,1,12515,97910,"More than $75,000",37568,10119,26.9,25.1% - 50%,13603,29.7971535,-98.7013931
75418,Bonham,Fannin,Texas,South Region,2014,1,4835,51168,"$35,000 - $55,000",14570,4400,30.2,25.1% - 50%,5597,33.5937767,-96.1773529
79008,Borger,Hutchinson,Texas,South Region,2014,2,,,,,,,,,35.6618576,-101.3942718
77834,Brenham,Washington,Texas,South Region,2014,1,,,,,,,,,30.1690826,-96.3967133
79011,Briscoe,Wheeler,Texas,South Region,2013,1,111,54375,"$35,000 - $55,000",202,17,8.4,Less than 10%,135,35.5837364,-100.2898788
78521,Brownsville,Cameron,Texas,South Region,2015,1,25503,33616,"Less than $35,000",89629,86595,96.6,More than 75%,28100,25.9184112,-97.4471588
78523,Brownsville,Cameron,Texas,South Region,2015,1,,,,,,,,,25.9315357,-97.4992676
76801,Brownwood,Brown,Texas,South Region,2018,1,9368,46793,"$35,000 - $55,000",24636,8613,35,25.1% - 50%,11844,31.7144909,-98.9959488
76804,Brownwood,Brown,Texas,South Region,2015,1,,,,,,,,,31.7192497,-98.983696
77805,Bryan,Brazos,Texas,South Region,2015,1,,,,,,,,,30.6716213,-96.3446198
76354,Burkburnett,Wichita,Texas,South Region,2015,1,5107,51574,"$35,000 - $55,000",12323,1992,16.2,10% - 25%,5778,34.0903511,-98.5848541
76028,Burleson,Johnson,Texas,South Region,2014,1,24470,81439,"More than $75,000",72493,18426,25.4,25.1% - 50%,25869,32.5402222,-97.316864
76097,Burleson,Johnson,Texas,South Region,2013,1,,,,,,,,,32.540348,-97.3279114
79015,Canyon,Randall,Texas,South Region,2014,1,7584,70938,"$55,001 - $75,000",22914,4944,21.6,10% - 25%,8531,34.9882813,-101.9258957
78133,Canyon Lake,Comal,Texas,South Region,2014,1,7664,70938,"$55,001 - $75,000",19405,4739,24.4,10% - 25%,9743,29.8791408,-98.2583237
75011,Carrollton,Dallas,Texas,South Region,2015,1,,,,,,,,,32.9754601,-96.8853149
75104,Cedar Hill,Dallas,Texas,South Region,2013,1,15697,76528,"More than $75,000",48821,40711,83.4,More than 75%,16326,32.5848885,-96.9463654
78613,Cedar Park,Williamson,Texas,South Region,2014,1,27558,107983,"More than $75,000",83876,30762,36.7,25.1% - 50%,28722,30.5035725,-97.8208008
76033,Cleburne,Johnson,Texas,South Region,2015,1,9625,56883,"$55,001 - $75,000",25977,7741,29.8,25.1% - 50%,10267,32.3312378,-97.4313812
77327,Cleveland,Liberty,Texas,South Region,2015,1,8900,44379,"$35,000 - $55,000",26206,11349,43.3,25.1% - 50%,10303,30.3327541,-94.9063415
79836,Clint,El Paso,Texas,South Region,2015,1,1772,42979,"$35,000 - $55,000",5804,5435,93.6,More than 75%,1922,31.576767,-106.2254715
75963,cogdoches,cogdoches,Texas,South Region,2015,1,,,,,,,,,31.631237,-94.6402969
77331,Coldspring,San Jacinto,Texas,South Region,2014,1,3178,49348,"$35,000 - $55,000",8064,2134,26.5,25.1% - 50%,4662,30.6149788,-95.1368942
77842,College Station,Brazos,Texas,South Region,2014,1,,,,,,,,,30.5964642,-96.3052979
77843,College Station,Brazos,Texas,South Region,2014,1,,,,,,,,,30.6044273,-96.3484802
76034,Colleyville,Tarrant,Texas,South Region,2013,1,9215,171122,"More than $75,000",26693,4527,17,10% - 25%,9402,32.892971,-97.1491013
76442,Comanche,Comanche,Texas,South Region,2013,1,3038,57384,"$55,001 - $75,000",7812,2840,36.4,25.1% - 50%,4026,31.9114571,-98.6058502
75431,Como,Hopkins,Texas,South Region,2013,1,607,51108,"$35,000 - $55,000",1871,698,37.3,25.1% - 50%,777,33.021183,-95.4563904
